Comment
Allah apko sehatyaab kary ameen
 @OnlyPakistanidramas  hello
Get well soon dear. My mother also suffering from cancer. I pray that everything will be fine soon. Get well .
Get well soon 😢
Hope you get well soon! Will pray for you
God bless u🙏
Allah pak apko sehat dy r ye bemare htm kar dy
Get well soon God
God bless you 🙏😇
Baba ji kre aap jld hi thik ho jao
Keep faith in God ✨
Get well soon
Get well soon friend all ways be happy😊😊😊😊
God bless you
God Bless U Dear
God bless you brother
Get well. God bless you and your family 🙏
Get well soon
 @jyotikumari-ce5dl  hello
Get well soon.।।।।।
Get well soon 🙏
Get well soon
Take care and get well soon
Get well soon ❤😊
Get well soon dear😊
Follow the DIP diet please...
Hope you'll be fine ❤
"Aasalamu aalaikum 
Read surah fateha & surah Yeasin, in sha Allah Allah give you shifa🤲"
Please stay strong. Yiu will win😊
Please take care
God bless you❤
Relax and chill do what u want
Get well soon
Allah bless you 🙏🏾
Get well soon
 @yasardal2595  hello
Get well soon ❤
"You will be fine very soon 😊😊❤
Don't worry 😊"
Get Well Soon
:thanksdoc:
I am praying for you.
"Sure, god bless you"
D
Get well soon We are praying for you
u will recover soon INshallah
Get well soon 🙏
Radha naam liya kare
God bless you get well soon
You recover soon brother....we are all with you..❤
 @mukunda666  hello
God bless you
Get well soon 😢
 @Hussain.89  hello
I pray you live a long life 🙏
Get well soon ❤️
God bless u bro .....u will be fine
App theek ho jaoge sir God ki blessing se🙏💐stay happy take care🙂
Get well soon.. and will do..
 @bharatchauhan2233  hello
Gat well soon
 @funzone4523  hello
May God bless you..
 @chitralekhagavas9985  hello
Get well soon
"Get well soon ... & Becoming a good health.. in front 🤍 ..,"
L
Get well soon I'm praying for you ❤❤
❤
Paid actor
Nigah u lying for likes
You will be alright. I pray for you.
 @ankursaxena127  hello
 @hindimashupsongs8888  hello….
Get well soon 😊
 @siddharthakhatri5534  hello
May Allah help you. Ameen.
Inshallah aap achche hojaoge 🥺🤲
 @shehzankhan8181  hello
Get well soon bhai. . We are praying for you☺
Aap bohot jald thik ho jaye
 @varshajal1174  hello
Shifakallah ❤️
 @fatimaabba9817  hello
"Allah pak apko seht da ❤
Jin logo se ap khafa ho unhen maaf kr da 
Apki tabyat bhi thek ho jye gi r Allah ajar de ga apko 
Prayers with you ❤"
God bless you 🙏😇
God bless! Get well soon!
 @siddharthshankar7250  hello
God bless you bro never. give up you
Totally agree. Song doesn't become hit without showing off their bodies and kissing scenes
This song is relaxing
This movie is  🥺🥺🥺 unforgettable ❤❤❤❤❤❤❤❤sharuk khan is superb hero🥰😍😍
amazing song❤
Shilpa rao what a voice😮😮
just masterpeice 😍
Nice lyrics 😊❤
Atlee love from me and others for making this best movie And What A music .What a acting and perfect match between them . Once more love from us.❤❤❤❤❤
Awesome choreography ❤
Shahrukh Khan sir my inspiration idol role model love from France 🇫🇷 ♥️
I fall in love due to this song 👩‍❤️‍👨
Nayanthara mam is absolutely gorgeous ❤ 🥰. Best song for the year 2023
Beautiful singer beautiful singer
Its like seeing two oldies who found each other at their children's graduation 😂
SRK steps are effortless very clean nd beautiful... Cnt believe he is in 50tees....❤
Song of the Year ❤❤❤❤❤
Best Wishes from Canada .. Cool song.. Keep it going..
SRK is always young for all❤❤
"Nayan forever, gorgeous talented lady super star❤"
I really very love this song
Wow nice song❤❤❤
Jinnat 👣
Awesome. Love you SRK
Nayntara with her expression 😍
❤ 🥰 Best song for the year 2023
This Song is Amazing ❤🎉
So beautiful ❤❤❤❤❤❤
"Never ignore a person who loves you, cares for you, misses you. Because one day, you might wake up from your sleep and realize that you lost the moon while counting the stars💝"
Nayanthara is my favorite ❤️❤️
When I heard this song❤I love it❤❤❤
Nayanthara mam is absolutely gorgeous
SRK in his 57 age . Alwas king 🇧🇩❤️
The Arabic version is ❤
"Good song ❤❤❤, TRUE  and nice ALFAZ"
amazing song
"Rukh Khan, Vijay Sethupathi, Nayanthara, and Deepika Padukone (in a special appearance) and is set to release in cinemas on 7th September 2023 in Hindi, Tamil, and Telugu! …"
I love this song❤
Heart touch in song❤
Love you srk ❤
"Everyone who sees this: You’re beautiful, and never give up your dreams, you are on this world for a reason!💝"
SRK❤❤❤❤
I wish this song was longer 😢
"Why bro 
This is one of the best song"
 @afsarahmedahmed5628  Exactly! Hence why I wish it was longer!
"SRK was,is and will be the biggest superstar of bollywood❤"
Arijit Singh is the best singer in Bollywood
I am listening this song for 10 th time
SRk  best song 2023 ♥️♥️♥️♥️♥️
This is best song❤❤❤❤❤
Anirudh❤
Wow love this song...from 🇱🇰
Look like love srk ❤❤
"very excellent 
I like this song"
Somehow this song suits shubhman gill more than anyone..just a thought..
❤❤❤
I can’t belive ..he is 58 years old
অসাধারণ 👌👌👌❤️❤️❤️
"May Sai Baba take care of cancer and bless you with long, happy , blissful life."
best song for the year 2023
Shahraukh khan best song 😍😍😍😍😍
Love srk
It's Ghost mania all over can't wait to watch this film
❤❤
Ishq Mein Dil Fanaa hai my favourite song Shahrukh Khan big fan Jawan superhit film superhit song
Love you shahrukhan ❤
beautiful🙂🙂
Love 💕💕💕
😮❤
❤❤🥰🤗
❤❤❤❤
"I like it too, even though I can’t understand the words. (From Oklahoma City, USA)"
Ishq mein Dil banaa hai Ishq mein Dil Fanaa hai my favourite song Jawan superhit film Shahrukh Khan big big fans
I’m from Kurdistan love you sharukhan🫀
Wow🎉❤❤❤❤❤❤❤❤
My love song
Good  Song❤🇧🇩🇧🇩
WooWWooo ....Wonderful Song .......................................................................😎
Lovely song
❤
Mast
Where can i watch the movie ??
❤❤❤❤❤❤❤❤❤❤
Super 👍
"Loved the composition,  everybody is talking about Rajneesh Duggal. But, who is this super talented girl, actress?"
"First time when i saw this song  i am like arey buddha kya karraha hai .... Ab lag raha hai .. ""yahi sahi hai "" nobody can save bollywood other than khans .. we need indian movies family oriented.. not westrn"
Amazing spider-man Khan 🎶🎵😍
My god I can't believe...he is 58 jest waw
Ani❤❤❤
"For the first time I am not looking at shahrukh ....
Nayanthara ❤❤❤❤❤❤❤❤"
Hook ❤
"I like it song 🎵 दुनिया को लगते हैं बुरे अंदाज मेरे,

लोग कहाँ जानते हैं गहरे राज़ मेरे।"
Mast song
nice
❤🎉🎉😊😊
Arjitt ❤
❤❤❤❤❤❤
Like this song
❤❤❤❤❤❤Iiwaran mashaalla
"Ishq Mein Dil Bana Hai
Ishq Mein Dil Fanna Hai Ho
Mita De Ya Bana De
Maine Tujhko Chuna Hai Ho Ho
Tere Saare Rang Odh Ke Dhang Odh Ke
Tera Hua Main Sabko Chhod Ke Ho Ho Ho
Ishq Ni Karna Naap Tol Ke Raaj Khol Ke
Aaya Hoon Main Sabko Bol Ke Ho
Oh Main Taan Chaleya Teri Oar
Tera Chaleya Hai Zor
Tera Hoya Main Yaar Ve
Bhuleya Ae Sansaar Ve
Chaleya Teri Oar
Tera Chaleya Hai Zor
Tera Hoya Main Yaar Ve
Bhuleya Ae Sansaar Ve
Jag Tere Liye Chhodiya
Dil Tere Sang Jodiya
Ab Tera Main Toh Ho Gaya
Paa Ke Tujhe Main Kho Gaya
Jag Tere Liye Chhodiya
Dil Tere Sang Jodiya
Ab Tera Main Toh Ho Gaya
Paa Ke Tujhe Main Kho Gaya
Kho Gaya Haan
Ishq Mein Dil Bana Hai
Ishq Mein Dil Fanna Hai Ho
Ho Ho Ho
Hansa De Ya Rula De
Maine Tujhko Chuna Hai Oh
Oh Ho Ho
Duniya Kehti
Ishq Bhool Hai Befizool Hai
Humko Toh Dil Se
Kubool Hai Oh Oh Ho Ho
Tujhme Dikhta
Rabb Ka Noor Hai Ek Suroor Hai
Tu Hai Apna Yeh Guroor Hai Oh
Oh Oh Ho
Ve Main Taan Chaliya Teri Oar
Tera Chaleya Hai Zor
Teri Hoyi Main Yaar Ve
Bhuleya Ae Sansar Ve
Chaleya Teri Oar
Tera Chaleya Hai Zor
Teri Hoyi Main Yaar Ve
Bhuleya Ae Sansar Ve
Tu Ishq-e-Khwab Khwaab Sa Hai
Mera Behisaab Sa Hai
Tere Labb Choom Loon Main
Urdu Ki Kitaab Sa Hai
Ishq-e-Khwab Khwaab Sa Hai
Mera Behisaab Sa Hai
Tere Labb Choom Loon Main
Urdu Ki Kitaab Sa Hai
Jag Tere Liye Chhodiya
Ishq Mein Dil Fanna Hai
Dil Tere Sang Jodiya
Ishq Mein Dil Fanna Hai Ho Ho
Ab Tera Main Toh Ho Gaya
Paa Ke Tujhe Main Kho Gaya
Jag Tere Liye Chhodiya
Mita De Ya Bana De
Dil Tere Sang Jodiya
Maine Tujhko Chuna Hai Ho Ho
Paa Ke Tujhe Main Kho Gaya
Kho Gaya Haan"
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Nice
🤜💕🤛
Arijit Singh + Shilpa Rao = ?  Jo hai wo gajb hai
So stylish song
Same ❤😂
Wow❤😂❤❤
JAWAN: Chaleya (Hindi) | Shah Rukh Khan
It takes to 2010 days
NICE SONG
Srk 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
It's Ani Tyme❤
Nayanthara
Copyright strike kaise nahi pada ab tk🤔
😍😍😍😍💗💞💞💞💞
Are vah ❤
Love
Nayanthara is my best friend
Shahrukh khanji became very very old.... Makeup.. There is a limit
Koi b actor chag swad ka ni h aj kl k wohi jo purany heroes hn wohi best actors hn but ab ya b old ho gae h. But batter than ajkl sy 😅
tune pura gaana uthake daala wo himmat ke liye tujhe mein subscribe kia . love u bro big fan
😊😊😊😊
❤❤😊😊
Nice song
celebrating the happiness of losing the World Cup for INDIA because of slum Siraj and rude Koli with this song. emotional satisfaction
♥️ hm correct chaleya
Shahrukh is too old for this...🤣
Wow❤❤❤❤
❤Ms
Who is here after watching the movie  ??
Lovely arjit song
😊
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
Nayanthara is so gorgeous ❤❤
Get well soon i pray god
brother post tum se hi .shahid and kareena❤❤
🎉🎉
Anione srk fan ❤
Song looks good.. Has Srk done some make up or something abt his nose? Looks different
shah rukh khan is so sexy lovely
😍😍👌👌👍👍
Srk ji 😊😊😊😊😊😊
😮😅😢
Rukh
Copyright nhi aate kya?
Hi
Sujit😊
Sharukh Khan looks old enough to play Amitabh Bachchan's grandfather's role in next movie.
Me variy bigast fan srk vary nies song
Ubb Dada Abu ki age kay hero na Lea krooo😢
Your done sarukh...your done it's over your age....your done
"This song never gets old,the voice of the female singer is fantastic 🙂"
Bollywood is Incomplete without Arijit Singh's Melodious Voice 😍❤🔥
Fallen in love with this song. I so can relate to the movie as iam too a cancer patient so please everyone keep me in your prayers.
Nayanthara mam is absolutely gorgeous ❤ 🥰. Best song for the year 2023
"Dear parents: Just because your child is smiling at their phone, doesn't mean they have a boyfriend or girlfriend, they are watching this masterpiece!"
"Never ignore a person who loves you, cares for you, misses you. Because one day, you might wake up from your sleep and realize that you lost the moon while counting the stars💝"
amazing song
❤❤❤
❤❤
❤❤❤❤
❤
❤❤❤❤❤❤❤❤❤❤
Nice
nice
Hi
"This song never gets old,the voice of the female singer is fantastic 🙂"
Bollywood is Incomplete without Arijit Singh's Melodious Voice 😍❤🔥
"This song never gets old,the voice of the female singer is fantastic 🙂"
"This song never gets old,the voice of the female singer is fantastic 🙂"
Bollywood is Incomplete without Arijit Singh's Melodious Voice 😍❤🔥
Fallen in love with this song. I so can relate to the movie as iam too a cancer patient so please everyone keep me in your prayers.
Fallen in love with this song. I so can relate to the movie as iam too a cancer patient so please everyone keep me in your prayers.
Nayanthara mam is absolutely gorgeous ❤ 🥰. Best song for the year 2023
Nayanthara mam is absolutely gorgeous ❤ 🥰. Best song for the year 2023
Nayanthara mam is absolutely gorgeous ❤ 🥰. Best song for the year 2023
Bollywood is Incomplete without Arijit Singh's Melodious Voice 😍❤🔥
❤❤❤
❤❤❤
❤❤
❤❤❤❤
❤❤
❤
❤
❤
❤❤❤❤
❤
True
mast somg
Ekdum se sunidhi Chauhan lagti h❤
Supervisor 😊😅⛱️💯🤗🔥💯
Lips kitne pyare hai yr uske mere gf jaise 😂😂😂😂😊
I think aai pallavi is best option
Which film? Name please
😂😂😂😂
Nayanthara in Hindi what
Sorry name of women on cinema  ?
BB
Hello app ayse video upload karke ka copyright Nehi Kati ho
asdasda
Ahh narmada jii
What is the name of the womej
Ei gaan shunle anr biyer diner kotha mone pore🥹
Some think missing in the song🤔🤔🤔
Kam kemat ma apne channal ko monitize kray
Paise mil re kya bro?
kkkk
Ayush Sharma
اسم jawan😊
"I hate srk but but
I like his movies like paathan😊"
Srk jalwa
what happened to his nose
Nice song
Boigon
Who lissen 2023
Old boy.
Video dusra ka kaise upload karte ho to view aa jata hye
মুভি দেখে পেলছি
Only emran Hashmi
sdasdasdasdsadsa
Ram ram everyone ❤
asfa
@urcutequeen
Fvt
No chemistry at all😂
casdasd
बत्रा का मजार ?
sdadssa
safsad
Music album m usse koi aage nahi h
Safety shoes and ह्यूमस।
The blind belief I meant?
Larki khubsurat nai hai
Surar
Fazool tareen
❤❤❤❤❤🎉🎉🎉
